,City,Latitude,Longitude,Max Temp (Celsius),Humidity,Cloudiness,Wind Speed,Country,Date
0,sragen,-7.4264,111.0222,26.68,77,92,1.63,ID,1613955193
1,severo-yeniseyskiy,60.3725,93.0408,-26.32,90,100,1.13,RU,1613955194
2,puerto ayora,-0.7393,-90.3518,24.44,93,69,3.57,EC,1613955025
3,mar del plata,-38.0023,-57.5575,24.0,60,75,4.12,AR,1613954750
4,hilo,19.7297,-155.09,26.0,65,90,6.17,US,1613954598
5,airai,-8.9266,125.4092,21.05,81,100,1.33,TL,1613954848
6,fare,-16.7,-151.0167,27.74,70,100,3.43,PF,1613954898
7,new norfolk,-42.7826,147.0587,17.78,54,96,1.79,AU,1613954850
8,ballina,-28.8667,153.5667,29.0,54,0,4.12,AU,1613955196
9,mogadishu,2.0371,45.3438,25.16,83,100,8.8,SO,1613954879
10,hithadhoo,-0.6,73.0833,28.0,74,100,5.63,MV,1613954891
11,butaritari,3.0707,172.7902,27.46,78,100,8.56,KI,1613954868
12,ushuaia,-54.8,-68.3,5.0,87,75,4.12,AR,1613954851
13,kapaa,22.0752,-159.319,25.0,78,90,7.72,US,1613954855
14,vaini,-21.2,-175.2,29.0,70,20,6.17,TO,1613954851
15,flinders,-34.5833,150.8552,28.33,67,1,1.79,AU,1613954946
16,cherskiy,68.75,161.3,-32.99,84,100,3.04,RU,1613954870
17,assiniboia,49.6334,-105.9845,2.0,64,100,9.26,CA,1613955198
18,ilulissat,69.2167,-51.1,-14.0,78,90,3.6,GL,1613954845
19,villa carlos paz,-31.4241,-64.4978,25.56,83,75,2.57,AR,1613955198
20,luderitz,-26.6481,15.1594,18.17,67,0,9.34,NA,1613954909
21,port alfred,-33.5906,26.891,17.22,84,57,0.89,ZA,1613954862
22,albany,42.6001,-73.9662,-5.56,49,0,1.31,US,1613954784
23,barrow,71.2906,-156.7887,-21.0,77,90,7.72,US,1613954878
24,oranjestad,12.524,-70.027,26.0,73,20,7.2,AW,1613955200
25,vila franca do campo,37.7167,-25.4333,16.11,94,75,9.77,PT,1613954932
26,tukrah,32.5341,20.5791,11.38,78,0,5.86,LY,1613955017
27,bengkulu,-3.8004,102.2655,25.96,80,92,1.36,ID,1613954668
28,ngunguru,-35.6167,174.5,24.44,63,100,2.68,NZ,1613954958
29,uvira,-3.4067,29.1458,22.36,68,100,0.88,CD,1613955022
30,lasa,46.6166,10.7002,3.33,84,0,1.92,IT,1613954866
31,geraldton,-28.7667,114.6,27.0,44,0,2.06,AU,1613954962
32,roswell,34.0232,-84.3616,12.22,43,2,3.49,US,1613955202
33,wajid,3.8093,43.2471,21.24,75,100,7.63,SO,1613955203
34,punta arenas,-53.15,-70.9167,8.0,57,90,5.66,CL,1613954853
35,pangnirtung,66.1451,-65.7125,-21.63,60,7,0.53,CA,1613955034
36,kyzyl-suu,42.3414,78.0056,-1.77,84,100,1.24,KG,1613955204
37,abdanan,32.9926,47.4198,5.3,60,0,1.78,IR,1613955204
38,gitarama,-2.0744,29.7567,17.78,82,100,2.68,RW,1613955204
39,castro,-24.7911,-50.0119,17.35,93,21,3.82,BR,1613954865
40,saint-philippe,-21.3585,55.7679,24.0,78,0,2.57,RE,1613954855
41,faanui,-16.4833,-151.75,27.76,68,65,2.55,PF,1613954969
42,isangel,-19.55,169.2667,30.0,74,75,6.17,VU,1613954878
43,rikitea,-23.1203,-134.9692,26.73,66,0,3.46,PF,1613954848
44,esil,51.9556,66.4042,-31.27,87,12,1.9,KZ,1613955206
45,mabaruma,8.2,-59.7833,23.32,93,100,1.69,GY,1613955207
46,gorontalo,0.5412,123.0595,29.05,67,100,1.32,ID,1613955207
47,kindu,-2.95,25.95,20.64,88,96,0.93,CD,1613955122
48,padang,-0.9492,100.3543,25.0,94,20,1.03,ID,1613955207
49,kimbe,-5.5502,150.1429,31.46,62,20,1.93,PG,1613955066
50,maridi,4.9158,29.4742,17.66,29,0,0.55,SS,1613955208
51,kavieng,-2.5744,150.7967,29.11,72,93,3.08,PG,1613955064
52,ahipara,-35.1667,173.1667,22.97,58,62,5.21,NZ,1613954921
53,great yarmouth,52.6083,1.7305,7.0,93,100,1.54,GB,1613954947
54,atuona,-9.8,-139.0333,26.17,80,100,5.64,PF,1613954863
